Docking Station Name,Docking Station ID,Docking Station Capacity,Latitude,Longitude
"Grosvenor Square, Mayfair",348,17,51.5122,-0.150481
"St. George Street, Mayfair",349,18,51.512,-0.142783
"Queen's Gate, Kensington Gardens",350,21,51.5017,-0.179854
"Macclesfield Rd, St Lukes",351,28,51.5294,-0.097122
"Vauxhall Street, Vauxhall",352,19,51.487,-0.116625
"Greycoat Street , Westminster",353,17,51.4946,-0.134234
"Northumberland Avenue, Strand",354,37,51.5068,-0.123702
"Clapham Common Station, Clapham Common",355,21,51.461388,-0.13922146
"South Kensington Station, South Kensington",356,15,51.4944,-0.173881
"Howland Street, Fitzrovia",357,30,51.521,-0.139016
"High Holborn , Covent Garden",358,17,51.5164,-0.124332
"Butler Place, Westminster",359,18,51.4978,-0.135441
"Howick Place, Westminster",360,27,51.4968,-0.138734
"Waterloo Station 2, Waterloo",361,54,51.50461623,-0.113490691
"Royal College Street, Camden Town",362,57,51.5363,-0.133952
"Lord's, St. John's Wood",363,24,51.5291,-0.171185
"Store Street, Bloomsbury",364,32,51.519572,-0.1321404
"City Road, Angel",365,47,51.5303,-0.100168
"Millennium Hotel, Mayfair",366,27,51.5109,-0.151126
"Harrowby Street, Marylebone",367,16,51.5174,-0.164208
"Harriet Street, Knightsbridge",368,25,51.5002,-0.159341
"Paddington Green, Paddington",370,20,51.5202,-0.174593
"King Edward Walk, Waterloo",371,22,51.4978,-0.10988
"Sardinia Street, Holborn",372,24,51.5152,-0.117863
"Prince Consort Road, Knightsbridge",373,18,51.4998,-0.176416
"Waterloo Station 1, Waterloo",374,34,51.50472244,-0.113919847
"Kensington Town Hall, Kensington",375,18,51.5019,-0.194393
"Millbank Tower, Pimlico",376,24,51.4919,-0.125675
"Waterloo Bridge, South Bank",377,15,51.5054,-0.113657
"Natural History Museum, South Kensington",378,42,51.4956,-0.179078
"Turquoise Island, Notting Hill",379,21,51.5143,-0.200838
"Stanhope Gate, Mayfair",380,21,51.5069,-0.150667
"Charlotte Street, Fitzrovia",381,14,51.5195,-0.135777
"Farm Street, Mayfair",382,15,51.5094,-0.14745
"Frith Street, Soho",383,18,51.5131,-0.131214
"Marloes Road, Kensington",384,15,51.4965,-0.192404
"Moor Street, Soho",386,16,51.5135,-0.130111
"Fire Brigade Pier, Vauxhall",387,30,51.4937,-0.121394
"Southampton Street, Strand",388,14,51.5107,-0.121724
"Upper Grosvenor Street, Mayfair",389,18,51.5101,-0.155758
"Buxton Street 1, Shoreditch",390,41,51.5218,-0.068856
"Clifford Street, Mayfair",391,27,51.5107,-0.142346
"Imperial College, Knightsbridge",392,21,51.4994,-0.179702
"Snow Hill, Farringdon",393,15,51.5173,-0.103604
"Aberdeen Place, St. John's Wood",394,18,51.5248,-0.176268
"Cadogan Gardens, Chelsea",395,15,51.4925,-0.159919
"Shouldham Street, Marylebone",396,16,51.5181,-0.163609
"Devonshire Terrace, Bayswater",397,16,51.5135,-0.17977
"Holland Park, Kensington",398,29,51.5023,-0.200742
"Brick Lane Market, Shoreditch",399,24,51.5226,-0.071654
"George Street, Marylebone",400,27,51.5177,-0.154106
"Columbia Road, Shoreditch",401,24,51.5282,-0.075375
"Penfold Street, Marylebone",402,15,51.5229,-0.171682
"George Place Mews, Marylebone",403,16,51.5169,-0.15825
"Palace Gate, Kensington Gardens",404,13,51.502,-0.1844
"Gloucester Road Station, South Kensington",405,15,51.4942,-0.182671
"Sun Street, Liverpool Street",408,23,51.5201425,-0.083967189
"Strata, Elephant & Castle",409,41,51.4931,-0.099828
"Edgware Road Station, Marylebone",410,63,51.52,-0.169774
"Rotherhithe Roundabout, Rotherhithe",411,19,51.499169,-0.055846
"Cleaver Street, Kennington",412,17,51.4881,-0.110121
"Chelsea Bridge, Pimlico",419,15,51.4858,-0.149004
"Southwark Station 1, Southwark",420,36,51.504,-0.105312
"Southwark Station 2, Southwark",421,44,51.50418422,-0.104788731
"Eaton Square (South), Belgravia",423,31,51.4946,-0.153934
"Ebury Bridge, Pimlico",424,29,51.4905,-0.149186
"Harrington Square 2, Camden Town",425,27,51.533379,-0.139159
"Vincent Street, Pimlico",426,17,51.4931,-0.129925
"Cheapside, Bank",427,43,51.514,-0.0929403
"Exhibition Road, Knightsbridge",428,20,51.4999,-0.174554
"South Parade, Chelsea",430,18,51.489,-0.17524
"Crinan Street, King's Cross",431,20,51.5345,-0.122203
"Exhibition Road Museums 1, South Kensington",432,22,51.497,-0.173894
"Wren Street, Holborn",433,33,51.5246,-0.116279
"Kennington Station, Kennington",435,23,51.4889,-0.105593
"Red Lion Street, Holborn",436,36,51.5182,-0.11655
"Vauxhall Walk, Vauxhall",437,27,51.4881,-0.120903
"Killick Street, King's Cross",439,22,51.5338,-0.118677
"Kennington Oval, Oval",440,33,51.4831,-0.113134
"Sail Street, Vauxhall",441,24,51.4957,-0.114605
"Walmer Road, Avondale",442,24,51.5101,-0.211358
"Philpot Street, Whitechapel",443,30,51.5153,-0.058641
"Bethnal Green Garden, Bethnal Green",444,24,51.5257,-0.055312
"Cheshire Street, Bethnal Green",445,28,51.5239,-0.065076
"York Hall, Bethnal Green",446,27,51.5289,-0.055894
"Jubilee Crescent, Cubitt Town",447,54,51.4934,-0.007542
"Fisherman's Walk West, Canary Wharf",448,36,51.5062,-0.02296
"Shadwell Station, Shadwell",449,35,51.5111,-0.057159
"Jubilee Street, Stepney",450,28,51.516,-0.053177
"Hermitage Court, Wapping",451,16,51.5047,-0.063531
"St. Katharine's Way, Tower",452,24,51.50586395,-0.070536636
"Garnet Street, Shadwell",453,24,51.5084,-0.055167
"Napier Avenue, Millwall",454,20,51.4877,-0.021582
"East Ferry Road, Cubitt Town",455,17,51.4945,-0.014409
"Parkway, Camden Town",456,33,51.5381,-0.144664
"Castlehaven Road, Camden Town",457,29,51.5421,-0.145393
